001-TIME,002-Charge,003-Charge-absError,004-Charge-relError
0.6185960048344393E-011,0.1802448596250006E-005,0.5992758101824175E-019,0.3324787244580682E-013
0.1237192009668879E-010,0.1802448596250003E-005,0.6204516338637750E-019,0.3442270892799090E-013
0.1855788014503318E-010,0.1802448596250003E-005,0.6204516338637750E-019,0.3442270892799090E-013
0.2474384019337757E-010,0.1802448596250003E-005,0.6204516338637750E-019,0.3442270892799090E-013
0.3092980024172197E-010,0.1802448596250003E-005,0.6204516338637750E-019,0.3442270892799090E-013
0.3711576029006636E-010,0.1802448596250003E-005,0.6204516338637750E-019,0.3442270892799090E-013
0.4330172033841075E-010,0.1802448596250003E-005,0.6204516338637750E-019,0.3442270892799090E-013
0.4948768038675514E-010,0.1802448596250003E-005,0.6204516338637750E-019,0.3442270892799090E-013
0.5567364043509953E-010,0.1802448596250003E-005,0.6204516338637750E-019,0.3442270892799090E-013
0.6185960048344392E-010,0.1802448596250003E-005,0.6204516338637750E-019,0.3442270892799090E-013
0.6804556053178831E-010,0.1802448596250003E-005,0.6204516338637750E-019,0.3442270892799090E-013
0.7423152058013270E-010,0.1802448596250003E-005,0.6204516338637750E-019,0.3442270892799090E-013
0.8041748062847709E-010,0.1802448596250003E-005,0.6204516338637750E-019,0.3442270892799090E-013
0.8660344067682148E-010,0.1802448596250003E-005,0.6204516338637750E-019,0.3442270892799090E-013
0.9278940072516587E-010,0.1802448596250003E-005,0.6204516338637750E-019,0.3442270892799090E-013
0.9897536077351027E-010,0.1802448596250003E-005,0.6204516338637750E-019,0.3442270892799090E-013
0.1000000000000000E-009,0.1802448596250003E-005,0.6204516338637750E-019,0.3442270892799090E-013
