"Nbr. of electrons (analytical halved)"
0.0000000000000000E+000
445000000
2730000000
12150000000
43320000000
126260000000
303690000000
608825000000
1030720000000
1499730000000
1918925000000
2220170000000
2394210000000
2475050000000
2505235000000
2514295000000
2516480000000
2516905000000
2516905000000
2516905000000
2516905000000
