001-TIME,002-Charge,003-Charge-absError,004-Charge-relError
0.6185960048364288E-011,0.1802448596249976E-005,0.4150461441546072E-019,0.2302679505080628E-013
0.1237192009672858E-010,0.1802448596249976E-005,0.4150461441546072E-019,0.2302679505080628E-013
0.1855788014509286E-010,0.1802448596249976E-005,0.4150461441546072E-019,0.2302679505080628E-013
0.2474384019345715E-010,0.1802448596249976E-005,0.4150461441546072E-019,0.2302679505080628E-013
0.3092980024182144E-010,0.1802448596249976E-005,0.4150461441546072E-019,0.2302679505080628E-013
0.3711576029018572E-010,0.1802448596249976E-005,0.4150461441546072E-019,0.2302679505080628E-013
0.4330172033855001E-010,0.1802448596249976E-005,0.4150461441546072E-019,0.2302679505080628E-013
0.4948768038691430E-010,0.1802448596249976E-005,0.4150461441546072E-019,0.2302679505080628E-013
0.5567364043527859E-010,0.1802448596249976E-005,0.4150461441546072E-019,0.2302679505080628E-013
0.6185960048364287E-010,0.1802448596249976E-005,0.4150461441546072E-019,0.2302679505080628E-013
0.6804556053200715E-010,0.1802448596249976E-005,0.4150461441546072E-019,0.2302679505080628E-013
0.7423152058037143E-010,0.1802448596249976E-005,0.4150461441546072E-019,0.2302679505080628E-013
0.8041748062873572E-010,0.1802448596249976E-005,0.4150461441546072E-019,0.2302679505080628E-013
0.8660344067710000E-010,0.1802448596249976E-005,0.4150461441546072E-019,0.2302679505080628E-013
0.9278940072546428E-010,0.1802448596249976E-005,0.4150461441546072E-019,0.2302679505080628E-013
0.9897536077382856E-010,0.1802448596249976E-005,0.4150461441546072E-019,0.2302679505080628E-013
0.1000000000000000E-009,0.1802448596249976E-005,0.4150461441546072E-019,0.2302679505080628E-013
