001-TIME,002-Massflow-Spec-001-SF-001,003-Massflow-Spec-001-SF-002,004-Massflow-Spec-001-SF-003
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.2000000000000000E-004,0.1000000000000000E-012,0.1000000000000000E-012,0.1000000000000000E-012
