001-TIME,002-nSurfColl-Spec-001,003-nSurfColl-Spec-002,004-N_Ads-Spec-001,005-N_Ads-Spec-002,006-N_Des-Spec-001,007-N_Des-Spec-002,008-ElectricCurrentSEE-BC_Xplus,009-EnergyViolationRatioSEE-BC_Xplus,010-EnergyViolationAdditionSEE-BC_Xplus
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.5000000000000002E-009,0.3084640000000000E+006,0.0000000000000000E+000,0.9433900000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-008,0.3117430000000000E+006,0.0000000000000000E+000,0.9508000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
