001-TIME,002-nSurfColl-Spec-001,003-nSurfColl-Spec-002,004-N_Ads-Spec-001,005-N_Ads-Spec-002,006-N_Des-Spec-001,007-N_Des-Spec-002,008-ElectricCurrentSEE-BC_Xplus,009-EnergyViolationRatioSEE-BC_Xplus,010-EnergyViolationAdditionSEE-BC_Xplus
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.5000000000000002E-009,0.3102620000000000E+006,0.0000000000000000E+000,0.3102620000000000E+006,0.0000000000000000E+000,0.3102620000000000E+006,0.0000000000000000E+000,0.2438664003029424E+001,0.1481295339706765E+000,0.1581561783375821E-001
0.1000000000000000E-008,0.3118460000000000E+006,0.0000000000000000E+000,0.3118460000000000E+006,0.0000000000000000E+000,0.3118460000000000E+006,0.0000000000000000E+000,0.2438927593683177E+001,0.1484718569654903E+000,0.1585344765828452E-001
