001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-Current-Spec-001-SF-001,007-Ekin-001,008-Ekin-002,009-Ekin-003,010-Ekin-004
0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.0000000000000000E+000,0.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.5000000000000002E-009,0.3278999999999999E+023,0.1000000000000000E+001,0.3058999999999998E+023,0.6337999999999997E+023,0.1999996962398999E+001,0.2101480689110391E-009,0.0000000000000000E+000,0.1960898597073007E-009,0.4062379286183406E-009
0.1000000000000000E-008,0.3284999999999998E+023,0.1000000000000000E+001,0.3096999999999998E+023,0.6381999999999997E+023,0.2000003371105121E+001,0.2105328565936297E-009,0.0000000000000000E+000,0.1985199100542936E-009,0.4090527666479253E-009
