001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-Current-Spec-001-SF-001,007-Ekin-001,008-Ekin-002,009-Ekin-003,010-Ekin-004
0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.0000000000000000E+000,0.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.5000000000000002E-009,0.3435999999999999E+023,0.1000000000000000E+001,0.5319999999999998E+023,0.8755999999999996E+023,0.2000000166752059E+001,0.2202123893901334E-009,0.0000000000000000E+000,0.1705045945642698E-009,0.3907169839544055E-009
0.1000000000000000E-008,0.3351999999999998E+023,0.1000000000000000E+001,0.5093999999999998E+023,0.8445999999999996E+023,0.2000000166752061E+001,0.2148279799319940E-009,0.0000000000000000E+000,0.1632663850942566E-009,0.3780943650262520E-009
