001-TIME,002-Current-Spec-001-SF-001,003-nPartIn-Spec-001,004-nPartOut-Spec-001,005-Ekin-001,006-EkinMax-eV-001,007-EkinIn-001,008-EkinOut-001,009-PercentElectronsUnder2700eV
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-009,0.2E-002,0.6241000000000000E+004,0.6241000000000000E+004,0.4250707475643586E-008,0.2025978710565193E+006,0.3463813533281954E-017,0.24E-008,0.0000000000000000E+000
