001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-NumDens-Spec-005,007-NumDens-Spec-006
0.0000000000000000E+000,0.1000000000000000E+022,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+022
0.2000000000000000E-006,0.1000000000000000E+022,0.4192999999999997E+011,0.2860299999999998E+012,0.2440999999999998E+012,0.4192999999999997E+011,0.1000000000613990E+022
