001-TIME,002-nPart-Spec-001,003-ResolvedTimestep,004-Pmax,005-MeanFreePath,006-MaxMCSoverMFP,007-ResolvedCellPercentage
0.0000000000000000E+000,0.6609700000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.4000000000000000E-005,0.6609700000000000E+005,0.6250000000000000E+002,0.1669148380914990E+001,0.3890989318916711E-002,0.5789452344801884E+000,0.6250000000000000E+002
